attempt_id,scenario_id,pack,system_id,model,provider,route,prompt_lane,attempt_index,experiment_id,planned,retained,exclusion_reason,public_pass,hidden_pass,false_green,duration_seconds,patch_sha256,source_id,started_at
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:async_export_race:1,async_export_race,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,52.28384983399883,d5833d7a5696efdea8901191a11c7582f9439530749f288c30e3800258f2f96f,a_deepseek_ci_cv,2026-06-22T14:33:48+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:config_deep_merge:1,config_deep_merge,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,51.34386254099081,051badf75ccb9619b2200aa39bd08c817e3f21d8822eb715c7237dffc8f7308c,a_deepseek_ci_cv,2026-06-22T14:34:40+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:csv_header_contract:1,csv_header_contract,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,30.823237582997535,db347352504099eab31f680c468529723c7e66082752c0d63044fc5050d8ba92,a_deepseek_ci_cv,2026-06-22T14:35:31+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:decimal_money_rounding:1,decimal_money_rounding,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,31.705415125004947,5a39a2c4d4bf7603ecffbf3f29674871afbc9728613f062efca8bcdc9717cb6f,a_deepseek_ci_cv,2026-06-22T14:36:02+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:dependency_api_change:1,dependency_api_change,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,37.0899122080009,8dd348b755af237495f7cb5ca061bb33bb74e0f1f84d170deffc60b16009c103,a_deepseek_ci_cv,2026-06-22T14:36:34+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:env_bool_parser:1,env_bool_parser,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,31.443573750002543,33e4195402e16ef5b02f99c28e6622cc1c80111091b1122414e6bee93150b9ed,a_deepseek_ci_cv,2026-06-22T14:37:11+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:idempotency_key_regression:1,idempotency_key_regression,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,18.442653292004252,62012d1798bddd15286fd34907980f4b0fd5fc51e237cb27c83b7c815fa98ff5,a_deepseek_ci_cv,2026-06-22T14:37:42+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:mutable_default_leak:1,mutable_default_leak,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,17.604311332994257,2903509664d9d24795ce8c9e833f1ea947e6f77cabb5bfddcffce31b626a9fad,a_deepseek_ci_cv,2026-06-22T14:38:01+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:pagination_cursor_drift:1,pagination_cursor_drift,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,24.098113791988,c5d94acac7c39c9a7464c3f7eb0da3a3e5325e4f4f321ba795f19f8039a2c59f,a_deepseek_ci_cv,2026-06-22T14:38:18+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:stale_generated_schema:1,stale_generated_schema,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,49.38589874999889,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a_deepseek_ci_cv,2026-06-22T14:38:42+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:tenant_cache_leak:1,tenant_cache_leak,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,22.988379250004073,80f46a64a4f02f74906c7f2e6cbd88db7dfc8f60a9e99de8e2b37d2eba562a22,a_deepseek_ci_cv,2026-06-22T14:39:32+00:00
study-a:a_deepseek_ci_cv:deepseek-v4-pro:contract_visible:timezone_ci_only:1,timezone_ci_only,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,contract_visible,1,20260622T143348Z-ci_forensics-a8519fb6,1,1,,1,1,0,27.316765083989594,be3e608188cd52659178b28ea580cd3f10569bc7801718222450d05e80fe62d6,a_deepseek_ci_cv,2026-06-22T14:39:55+00:00
study-a:a_deepseek_ci_sparse:deepseek-v4-pro:sparse:async_export_race:1,async_export_race,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,sparse,1,20260620T015920Z-ci_forensics-ed815c64,1,1,,1,1,0,19.233764249831438,752161c5fe94c4b9a1d8d74c218d346fef5316ffcb8b8bd2af4ab2d824346603,a_deepseek_ci_sparse,2026-06-20T01:59:20+00:00
study-a:a_deepseek_ci_sparse:deepseek-v4-pro:sparse:config_deep_merge:1,config_deep_merge,ci_forensics,deepseek-v4-pro,deepseek/deepseek-v4-pro,deepseek,deepseek-api,sparse,1,20260620T015920Z-ci_forensics-ed815c64,1,1,,1,1,0,16.133124500047415,a8af6e5f0ff95a7c637227af94be111ed025723e3f16062fa23b49e3ee3de8ff,a_deepseek_ci_sparse,2026-06-20T01:59:39+00:00
