scenario_id,pack,category,difficulty,description,representative,contract_sha256,hidden_test_sha256
adapter_field_rename,maintenance_value,adapter-normalization,easy,A third-party user API renamed fields; the internal DTO contract should stay stable.,1,653cb7eb87fd0dd3b5296d9dbf01c94e368da20055532f3e77eb47883cee48dc,0155d0248bcddbd2a0dd68d1db2760ea455575fb1662a9779d410fc8e723b76b
async_export_race,ci_forensics,race-condition,medium,The export function starts a background writer and returns before the file is durable.,0,c95bab43eb7f4f0eed8dcd709feb33ffde39fba7ce244b74b9140b3211196f3d,8da167e02d5b5621e33259d8fdb89f654a440ce5307eb0ef3fcbc95c800709c0
audit_log_redaction,product_workflows,security-logging,medium,Audit logging should recursively redact sensitive keys without mutating the original event.,1,6cc0288f9045653567932a823f98c9d68ff23b06058722f8990b8b5fc964934e,17690c198833f638daf7325bf74cb0ebe1d1292529c622a2412c70232c5c21be
batch_splitter_utility,maintenance_value,utility-implementation,easy,A pure batching helper needs to satisfy a complete small specification.,1,60097761c4b1bac446ad81c96a5a3d645b3845bab394ae3a5c348630fd6dedee,3daeb345e50231e2f48dbae3c98355765d2cc1bb69686323012ddd4f41ff9fd4
billing_proration,product_workflows,billing,medium,Plan upgrade charges should prorate the price difference with explicit cent rounding.,0,f4b79ecdf78ff54afc97218c5826f1b6ab8a630bb919ecfd28088deb59804a24,a70a22410636e78a70ce354a72429c40b5db5b2ee5f5c15313ce48f5cd4c22f1
bulk_invite_dedupe,product_workflows,import-workflow,easy,Bulk invite import should normalize emails and avoid sending duplicate invites.,0,e78c4c6f0cf4e48d10f6aa506c573ebb0ea3dd0e23d19f105c1b9277c065dde4,c93f28961dcb201fcaf4300a6ade511368b843ea586d151d9ef5495ba651f53b
cart_discount_stack,product_workflows,checkout,medium,Cart totals should apply percent and fixed discounts in a deterministic order with a zero floor.,0,8648691cef4b07664f62fafec6fcc9ff599d97093a83a8386fb854d204778bf8,1c4af47aef3ef0f2423c528fc948a184229753c43ea4ba523dc49e60d7ef5f2c
config_deep_merge,ci_forensics,data-structure-contract,medium,"A configuration merger uses dict.update(), which replaces nested dicts instead of merging them.",0,eb264207328caaa4ede31d48feacaa53b63840721445c76cee585e0af8a3ab05,0738a0284b2e244aabb62c2c54c539ff67659e0e0882ea93bceb76ac407e3ef8
csv_header_contract,ci_forensics,data-contract,medium,An export dependency no longer preserves insertion order from source rows. The CSV writer must use the product's declared column contract.,0,1e10beb7092a32302567fc6e2d0afd1ef2a3057868e598e8696c4edeacf0dfeb,183cdcb0e6c4ded33b413700a372605866013644f61258183d25c5516cc67bef
decimal_money_rounding,ci_forensics,money,medium,Invoice totals are calculated with floats after an upstream payload started sending decimal strings.,1,edc95228e55f4bbca68d30f7a15075fa4233946db0c70c82e2e0919ed1785702,d678dbd63a00ab2d677d497f31654e7c967c4265bd42ce0e1304dc75f6752782
dependency_api_change,ci_forensics,dependency-boundary,easy,A payment dependency now returns a result object instead of True. The correct fix belongs in billing's dependency boundary.,1,9d8613d29bf5152ead9ef2e7f37f64f9b340312dcaaea8df0ef8130b44285046,a145ecac9b71fe330bce40150433976d90296916e68efae1af056e88045941e2
docs_cli_sync,maintenance_value,documentation-sync,easy,README examples still show an old CLI flag after the parser changed.,0,e52ca99e01bbd02996c1b04bfe1fb1ece38ac70bb6e3dc0f05d9176a5b2c30f1,6660e9be70978eb30f879cf0fafaf765c9d09dbbe652a0049185c959f6784ef0
env_bool_parser,ci_forensics,configuration,easy,A CI image now sets destructive-mode flags to the string false. The app treats every non-empty string as enabled.,0,8c383e136836b6da48f558db9d1044c4c38691f22612efca43835e6e7d5a3547,7b7b5495dd7881bfb9e7c037bcb692b0f067a936aaad27e8736718f988506f94
explicit_validation_matrix,maintenance_value,validation,medium,A small request validator needs the fully specified finite validation matrix.,0,8a5da2cffa0b9f225d3f80486d90a3a44b713672283a31669dd8238dc2a0bdd1,d1c00177a9549e32cae0b4fd9cdd974a7aef2adfcb66a57afa2205f7a0a26d2f
feature_rollout_bucket,product_workflows,feature-flags,medium,Percentage rollout needs stable hash buckets rather than process-local or length-based behavior.,0,f69db876dd6d70bcda2cd995b1d07ae686fc68a11452f963cfbaee704609fbb3,eb7cd2464bb5a0c919e0bec43335342bacf5d887c33bf48c55a1abc6ccadce51
fixture_schema_migration,maintenance_value,fixture-maintenance,easy,JSON fixtures still use a retired field name after the loader schema changed.,0,7a87729afbc5a38760dca9bcfcb2f3d9f6f90446ab4a40579a6701a11003b17b,ca40cb3c2de520438dada46f1980e58e3172d11089aed3e37bdc5b17561c91b9
generated_openapi_refresh,maintenance_value,generated-artifacts,easy,A generated OpenAPI artifact is stale after route metadata changed.,1,8d707ee079c6af7d353e43b4b5065bd37301180740e7608406bc2852873f7aa2,7365511abf089216ed53ad7de16834263b685265daa6a7771cb3e8aaf861d508
idempotency_key_regression,ci_forensics,idempotency,easy,"A retry queue changed key consumers, exposing an idempotency key that does not include the order id.",0,7beaecbd86fee1a8feceafd207a18f52a49365b03ff98f2ff9bc35b5e530122d,5b049ba2aba9f94466dd49de3a0df117e4a231efac89bd8c237b496f1928a0e5
import_hygiene_fix,maintenance_value,repo-hygiene,easy,A package-relative import is broken when tests run from the repository root.,0,09e940fd2dab5e81cdcc0a19528104f4a0ef37d6eb02ced084b9ea58c741193f,bfa9a1eec155464055c80c0d31034fed956b23559517c4027189ef437359bfe5
