scenario_id,pack,system_id,prompt_lane,planned_attempts,retained_attempts,public_passes,hidden_passes,false_greens,any_hidden_pass,all_retained_hidden_pass,cell_status
adapter_field_rename,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
adapter_field_rename,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
adapter_field_rename,maintenance_value,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
adapter_field_rename,maintenance_value,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
adapter_field_rename,maintenance_value,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
adapter_field_rename,maintenance_value,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
async_export_race,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
async_export_race,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
async_export_race,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
audit_log_redaction,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
audit_log_redaction,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
audit_log_redaction,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
audit_log_redaction,product_workflows,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
audit_log_redaction,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
audit_log_redaction,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
batch_splitter_utility,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
batch_splitter_utility,maintenance_value,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
batch_splitter_utility,maintenance_value,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
batch_splitter_utility,maintenance_value,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
batch_splitter_utility,maintenance_value,north-mini,contract_visible,1,1,0,0,0,0,0,mixed
batch_splitter_utility,maintenance_value,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
billing_proration,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
billing_proration,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
billing_proration,product_workflows,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
billing_proration,product_workflows,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
billing_proration,product_workflows,north-mini,contract_visible,1,1,0,0,0,0,0,mixed
billing_proration,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
bulk_invite_dedupe,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
bulk_invite_dedupe,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
bulk_invite_dedupe,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
bulk_invite_dedupe,product_workflows,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
bulk_invite_dedupe,product_workflows,north-mini,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
bulk_invite_dedupe,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
cart_discount_stack,product_workflows,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
cart_discount_stack,product_workflows,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
cart_discount_stack,product_workflows,gemma4-12b,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
cart_discount_stack,product_workflows,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
cart_discount_stack,product_workflows,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
cart_discount_stack,product_workflows,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
config_deep_merge,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
config_deep_merge,ci_forensics,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
config_deep_merge,ci_forensics,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
config_deep_merge,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
config_deep_merge,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
config_deep_merge,ci_forensics,laguna-xs2,sparse,1,1,1,1,0,1,1,all_hidden_pass
config_deep_merge,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
config_deep_merge,ci_forensics,north-mini,sparse,1,1,1,1,0,1,1,all_hidden_pass
csv_header_contract,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
csv_header_contract,ci_forensics,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
csv_header_contract,ci_forensics,gemma4-12b,contract_visible,1,1,1,0,1,0,0,all_hidden_fail
csv_header_contract,ci_forensics,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
csv_header_contract,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
csv_header_contract,ci_forensics,laguna-xs2,sparse,1,1,1,0,1,0,0,all_hidden_fail
csv_header_contract,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
csv_header_contract,ci_forensics,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
decimal_money_rounding,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
decimal_money_rounding,ci_forensics,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
decimal_money_rounding,ci_forensics,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
decimal_money_rounding,ci_forensics,gemma4-12b,sparse,1,1,1,0,1,0,0,all_hidden_fail
decimal_money_rounding,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
decimal_money_rounding,ci_forensics,laguna-xs2,sparse,1,1,1,0,1,0,0,all_hidden_fail
decimal_money_rounding,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
decimal_money_rounding,ci_forensics,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
dependency_api_change,ci_forensics,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
dependency_api_change,ci_forensics,deepseek-v4-pro,sparse,1,1,1,0,1,0,0,all_hidden_fail
dependency_api_change,ci_forensics,gemma4-12b,contract_visible,1,1,0,0,0,0,0,mixed
dependency_api_change,ci_forensics,gemma4-12b,sparse,1,1,0,0,0,0,0,mixed
dependency_api_change,ci_forensics,laguna-xs2,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
dependency_api_change,ci_forensics,laguna-xs2,sparse,1,1,1,0,1,0,0,all_hidden_fail
dependency_api_change,ci_forensics,north-mini,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
dependency_api_change,ci_forensics,north-mini,sparse,1,1,1,0,1,0,0,all_hidden_fail
docs_cli_sync,maintenance_value,deepseek-v4-pro,contract_visible,1,1,1,1,0,1,1,all_hidden_pass
docs_cli_sync,maintenance_value,deepseek-v4-pro,sparse,1,1,1,1,0,1,1,all_hidden_pass
